Encuestadora,Gálvez,Sheinbaum,Máynez,Voto nulo,Indefinido,Tamaño de muestra,Publicación,Muestra desde,Muestra hasta,Fuente,Consultado en,Levantamiento de muestra,Marco muestral,Diseño muestral,Tasa de no respuesta,Fuente 2,Fuente 3,Notas
Altica,38.6,50.4,9.7,1.3,,"1,800",29/5/2024,25/5/2024,28/5/2024,https://www.altica.net/encuestas/mexicopresidencialmayo,2/6/2024,900 vivienda + 900 digital,Vivienda,Vivienda,,,,
Berumen y Asociados (Berumen),35,60,5,,,"1,800",18/4/2024,1/4/2024,11/4/2024,https://mvsnoticias.com/nacional/2024/4/18/elecciones-2024-sheinbaum-lidera-encuesta-berumen-con-el-60-de-intencion-de-voto-635539.html,2/6/2024,Vivienda,Vivienda,Vivienda,24.0%,https://repositoriodocumental.ine.mx/xmlui/handle/123456789/169679,,
Buendia & Márquez,28,43,10,,,"2,000",28/5/2024,16/5/2024,26/5/2024,https://buendiaymarquez.org/2405-nacional/,2/6/2024,Vivienda,Vivienda,Vivienda,19.0%,,,
CE Research,34,55,11,,,600,1/5/2024,30/4/2024,30/4/2024,https://ceonline.com.mx/post/los-presidenciables-2024-61medicion/,2/6/2024,Operadora telefónica robotizada,Listado nominal por entidad,,,,,
Covarrubias y Asociados,31.8,58.8,9.4,,,"1,500",28/5/2024,18/5/2024,24/5/2024,https://heraldodemexico.com.mx/elecciones/2024/5/28/sheinbaum-llega-en-primer-lugar-encuesta-covarrubias-asociados-607092.html,2/6/2024,Vivienda,,,,,,
CRIPESO,35.37,58.49,3.07,3.07,,"2,072",29/5/2024,16/5/2024,27/5/2024,https://cripeso.com/cripeso-da-a-conocer-su-encuesta-numero-24-en-la-carrera-por-la-presidencia-de-la-republica/,2/6/2024,Redes sociales (Meta),,Muestreo por códigos postales,,,,
"Poligrama (CSIMDYCM , Consultoría en Servicios De Investigación, Marketing Digital Y Contactación Masiva)",34.9,53.8,8.9,,2.4,"1,000",25/5/2024,25/5/2024,25/5/2024,https://www.poligrama.mx/wp-content/uploads/2024/05/Poligrama%C2%AE%EF%B8%8FUltima-encuesta-presidencial.pdf,2/6/2024,Operadora telefónica robotizada,Vivienda,Vivienda,,https://www.poligrama.mx/encuestas/,,
De las Heras Demotecnia,28,64,8,,,"1,400",21/5/2024,16/5/2024,19/5/2024,https://x.com/herasdemotecnia,2/6/2024,Vivienda,Listado nominal por entidad,Vivienda,,,,
Demoscopia Digital,29.7,52.9,14.6,,2.8,"3,200",27/5/2024,25/5/2024,25/5/2024,https://demoscopiadigital.com/eleccion-presidencial-mexico-2024/,2/6/2024,Redes sociales (Whatsapp),,,,,,
El Financiero,38,52,10,,,"2,308",29/5/2024,1/5/2024,26/5/2024,https://www.elfinanciero.com.mx/encuestas-ef/2024/05/29/cierra-claudia-sheinbaum-con-amplia-ventaja/,2/6/2024,"1,008 vivienda + 1,300 entrevista telefónica",Vivienda,Vivienda,17%,,,"1,008 entrevistas personales, cara a cara, en vivienda del 16 al 20 de mayo de 2024, y 1,300 entrevistas personales por vía telefónica realizadas del 1 al 11 y del 21 al 26 de mayo"
ENFÓCATE (Enfócate Consultores y Comunicación),26,59,5,,10,861,17/4/2024,9/4/2024,13/4/2024,https://repositoriodocumental.ine.mx/xmlui/handle/123456789/166951,2/6/2024,Vivienda,Vivienda,Vivienda,28%,,,
Enkoll,31,53,10,,6,"1,210",28/5/2024,19/5/2024,23/5/2024,https://www.enkoll.com/wp-content/uploads/2024/05/PRESIDENCIABLES-2024-280524.pdf,2/6/2024,Vivienda,Vivienda,Vivienda,38%,https://www.enkoll.com/publicaciones,,Tasa de intentos 55%
FactoMétrica,29.9,58.1,12,,,"1,200",29/5/2024,27/5/2024,27/5/2024,https://www.factometrica.com/post/elecci%C3%B3n-presidencial-al-cierre-de-campa%C3%B1as,2/6/2024,Entrevista telefónica,Telefónico,"Muestreo estratificado (geográfico, género y edad)",,,,
GOBERNARTE,23.7,55.3,19.1,,1.9,"2,000",29/5/2024,24/5/2024,28/5/2024,https://gobernarte.com.mx/wp-content/uploads/2024/05/PRESIDENCIALES_29MAYO_GOBERNARTE_WEB.pdf,2/6/2024,Cuestionarios en aplicación móvil,,"Muestreo estratificado (geográfico, demográfico)",52%,https://gobernarte.com.mx/presidenciables-2024-resultados-29-de-mayo-2024/,,
InteligencIA,43.5,41.3,9.2,,5.9,"1,259",29/5/2024,22/5/2024,28/5/2024,https://drive.google.com/file/d/13QwBPG0dFb8gQ2CWKrVsr94-6zAsMcAf/view,2/6/2024,Operadora telefónica robotizada,Telefónico,Muestreo aleatorio simple,95%,https://x.com/ClickDgo/status/1795844816275718369/photo/1,,
La Encuesta Mx,40.7,47.3,8.4,,3.6,"1,800",29/5/2024,26/5/2024,28/5/2024,https://laencuesta.mx/quien-va-a-ganar-las-elecciones-presidenciales-en-mexico/,2/6/2024,Entrevista telefónica,Telefónico,Muestreo sistemático con marcado aleatorio,49%,,,
Massive Caller,44.6,42.5,12.9,,,"1,000",29/5/2024,28/5/2024,28/5/2024,https://x.com/MassiveCaller/status/1795874548228948318/photo/1,2/6/2024,Operadora telefónica robotizada,,,0%,,,Tasa de rechazo 95%
MEBA (Mendoza Blanco & Asociados),,,,,,,,,,,,,,,,,,
MetricsMX,,,,,,,,,,,,,,,,,,
Mexico Elige,,,,,,,,,,,,,,,,,,
Mitofsky,31.2,56.9,11.9,,,"1,200",28/5/2024,21/5/2024,24/5/2024,https://x.com/Mitofsky_group/status/1795629381047758898/photo/1,2/6/2024,Vivienda,Secciones electorales,Vivienda,,https://www.eleconomista.com.mx/politica/Aventaja-Sheinbaum-con-25-puntos-20240527-0148.html,https://repositoriodocumental.ine.mx/xmlui/handle/123456789/161775,
Multipoll,,,,,,,,,,,,,,,,,,
Oscar Roberto Martínez Tamez (Editora El Sol),,,,,,,,,,,,,,,,,,
Parametría,,,,,,,,,,,,,,,,,,
Reforma,30.45,47.85,8.7,,13,"1,000",29/5/2024,21/5/2024,26/5/2024,https://eldiariodeparral.mx/nacional/2024/may/29/tras-90-dias-afianza-sheinbaum-liderato-625597.html,2/6/2024,Vivienda,,"Bietápico, estratificado y por conglomerados",46%,https://www.noroeste.com.mx/nacional/reforma-da-20-puntos-de-ventaja-a-sheinbaum-sobre-xochitl-el-financiero-14-EY7515060,https://x.com/MiguelTorrucoG/status/1795825767869534452,
RUBRUMINFO (RUBRUM),,,,,,,,,,,,,,,,,,
SIMO (Sistemas de Inteligencia en Mercados y Opinión),,,,,,,,,,,,,,,,,,
Tecnología Estadística (Saba Consultores),,,,,,,,,,,,,,,,,,
TResearch,,,,,,,,,,,,,,,,,,
VOTIA,,,,,,,,,,,,,,,,,,